image,model,class_ids,class_names,elapsed_ms,fps,detections,detection_summary
ebike_2020-1473-_jpg.rf.b8a00e0f59ef5412a55f699c4bfbeae4.jpg,yolov8n,1+3+0,bicycle+motorcycle+person,32.395,30.869,1,"bicycle:0, motorcycle:0, person:1"
ebike_2020-149-_jpg.rf.884e421115a7ac3f392c34aa9f30731c.jpg,baseline,0+1+2,ebike+driver+passenger,34.793,28.741,1,"ebike:1, driver:0, passenger:0"
ebike_2020-149-_jpg.rf.884e421115a7ac3f392c34aa9f30731c.jpg,bifpn,0+1+2,ebike+driver+passenger,31.554,31.692,1,"ebike:1, driver:0, passenger:0"
ebike_2020-149-_jpg.rf.884e421115a7ac3f392c34aa9f30731c.jpg,yolov8n,1+3+0,bicycle+motorcycle+person,33.936,29.467,1,"bicycle:0, motorcycle:0, person:1"
ebike_2020-1558-_jpg.rf.aae8f1418861a64a38630975ffee24ca.jpg,baseline,0+1+2,ebike+driver+passenger,28.447,35.154,0,"ebike:0, driver:0, passenger:0"
ebike_2020-1558-_jpg.rf.aae8f1418861a64a38630975ffee24ca.jpg,bifpn,0+1+2,ebike+driver+passenger,28.227,35.428,0,"ebike:0, driver:0, passenger:0"
ebike_2020-1558-_jpg.rf.aae8f1418861a64a38630975ffee24ca.jpg,yolov8n,1+3+0,bicycle+motorcycle+person,30.392,32.904,1,"bicycle:0, motorcycle:0, person:1"
ebike_2020-1723-_jpg.rf.016141a093bf342505a9f73a2e83105b.jpg,baseline,0+1+2,ebike+driver+passenger,31.356,31.892,0,"ebike:0, driver:0, passenger:0"
ebike_2020-1723-_jpg.rf.016141a093bf342505a9f73a2e83105b.jpg,bifpn,0+1+2,ebike+driver+passenger,32.282,30.977,0,"ebike:0, driver:0, passenger:0"
ebike_2020-1723-_jpg.rf.016141a093bf342505a9f73a2e83105b.jpg,yolov8n,1+3+0,bicycle+motorcycle+person,33.047,30.260,1,"bicycle:0, motorcycle:0, person:1"
ebike_2020-1835-_jpg.rf.081ca6ec57eed4faf993cdc3a0f00136.jpg,baseline,0+1+2,ebike+driver+passenger,27.270,36.671,1,"ebike:1, driver:0, passenger:0"
ebike_2020-1835-_jpg.rf.081ca6ec57eed4faf993cdc3a0f00136.jpg,bifpn,0+1+2,ebike+driver+passenger,27.716,36.080,1,"ebike:1, driver:0, passenger:0"
ebike_2020-1835-_jpg.rf.081ca6ec57eed4faf993cdc3a0f00136.jpg,yolov8n,1+3+0,bicycle+motorcycle+person,29.363,34.057,2,"bicycle:0, motorcycle:0, person:2"
ebike_2020-185-_jpg.rf.59a8b647efbbea4a73250dae7c0c1987.jpg,baseline,0+1+2,ebike+driver+passenger,27.343,36.573,0,"ebike:0, driver:0, passenger:0"
ebike_2020-185-_jpg.rf.59a8b647efbbea4a73250dae7c0c1987.jpg,bifpn,0+1+2,ebike+driver+passenger,29.152,34.302,0,"ebike:0, driver:0, passenger:0"
ebike_2020-185-_jpg.rf.59a8b647efbbea4a73250dae7c0c1987.jpg,yolov8n,1+3+0,bicycle+motorcycle+person,42.262,23.662,1,"bicycle:0, motorcycle:0, person:1"
ebike_2020-201-_jpg.rf.120428d6cffc9e6502c4be62587ed28c.jpg,baseline,0+1+2,ebike+driver+passenger,24.510,40.799,1,"ebike:1, driver:0, passenger:0"
ebike_2020-201-_jpg.rf.120428d6cffc9e6502c4be62587ed28c.jpg,bifpn,0+1+2,ebike+driver+passenger,24.823,40.284,1,"ebike:1, driver:0, passenger:0"
ebike_2020-201-_jpg.rf.120428d6cffc9e6502c4be62587ed28c.jpg,yolov8n,1+3+0,bicycle+motorcycle+person,26.079,38.346,3,"bicycle:0, motorcycle:0, person:3"
ebike_2020-2092-_jpg.rf.f43a1fe4a28c88747e1dce0a0454f22b.jpg,baseline,0+1+2,ebike+driver+passenger,36.836,27.147,1,"ebike:1, driver:0, passenger:0"
ebike_2020-2092-_jpg.rf.f43a1fe4a28c88747e1dce0a0454f22b.jpg,bifpn,0+1+2,ebike+driver+passenger,33.320,30.012,1,"ebike:1, driver:0, passenger:0"
ebike_2020-2092-_jpg.rf.f43a1fe4a28c88747e1dce0a0454f22b.jpg,yolov8n,1+3+0,bicycle+motorcycle+person,32.074,31.178,1,"bicycle:0, motorcycle:0, person:1"
ebike_2020-2096-_jpg.rf.d6c1c746689ed8b47af2dd750cab3096.jpg,baseline,0+1+2,ebike+driver+passenger,31.388,31.860,1,"ebike:1, driver:0, passenger:0"
ebike_2020-2096-_jpg.rf.d6c1c746689ed8b47af2dd750cab3096.jpg,bifpn,0+1+2,ebike+driver+passenger,31.956,31.293,1,"ebike:1, driver:0, passenger:0"
ebike_2020-2096-_jpg.rf.d6c1c746689ed8b47af2dd750cab3096.jpg,yolov8n,1+3+0,bicycle+motorcycle+person,32.274,30.985,1,"bicycle:0, motorcycle:0, person:1"
ebike_2020-21-_jpg.rf.835c3bb6d5f292500c41eaa5a2a8cee6.jpg,baseline,0+1+2,ebike+driver+passenger,33.831,29.558,1,"ebike:1, driver:0, passenger:0"
ebike_2020-21-_jpg.rf.835c3bb6d5f292500c41eaa5a2a8cee6.jpg,bifpn,0+1+2,ebike+driver+passenger,33.591,29.770,1,"ebike:1, driver:0, passenger:0"
ebike_2020-21-_jpg.rf.835c3bb6d5f292500c41eaa5a2a8cee6.jpg,yolov8n,1+3+0,bicycle+motorcycle+person,32.823,30.466,3,"bicycle:1, motorcycle:0, person:2"
ebike_2020-2140-_jpg.rf.a74c0830e147ec346ef89653ad4998d1.jpg,baseline,0+1+2,ebike+driver+passenger,25.925,38.573,1,"ebike:1, driver:0, passenger:0"
ebike_2020-2140-_jpg.rf.a74c0830e147ec346ef89653ad4998d1.jpg,bifpn,0+1+2,ebike+driver+passenger,24.350,41.068,1,"ebike:1, driver:0, passenger:0"
ebike_2020-2140-_jpg.rf.a74c0830e147ec346ef89653ad4998d1.jpg,yolov8n,1+3+0,bicycle+motorcycle+person,25.502,39.212,3,"bicycle:0, motorcycle:0, person:3"
ebike_2020-2190-_jpg.rf.90849c9a1117f4cfffeabd6253f85c83.jpg,baseline,0+1+2,ebike+driver+passenger,32.958,30.341,1,"ebike:1, driver:0, passenger:0"
ebike_2020-2190-_jpg.rf.90849c9a1117f4cfffeabd6253f85c83.jpg,bifpn,0+1+2,ebike+driver+passenger,37.872,26.405,1,"ebike:1, driver:0, passenger:0"
ebike_2020-2190-_jpg.rf.90849c9a1117f4cfffeabd6253f85c83.jpg,yolov8n,1+3+0,bicycle+motorcycle+person,35.747,27.974,1,"bicycle:0, motorcycle:0, person:1"
ebike_2020-2257-_jpg.rf.c379a2132dc7cc2dcfe59b4157177b64.jpg,baseline,0+1+2,ebike+driver+passenger,24.992,40.013,1,"ebike:1, driver:0, passenger:0"
ebike_2020-2257-_jpg.rf.c379a2132dc7cc2dcfe59b4157177b64.jpg,bifpn,0+1+2,ebike+driver+passenger,24.673,40.530,1,"ebike:1, driver:0, passenger:0"
ebike_2020-2257-_jpg.rf.c379a2132dc7cc2dcfe59b4157177b64.jpg,yolov8n,1+3+0,bicycle+motorcycle+person,26.212,38.150,2,"bicycle:0, motorcycle:1, person:1"
ebike_2020-2410-_jpg.rf.c5f4706346a0fb3725f1f79ba239be8a.jpg,baseline,0+1+2,ebike+driver+passenger,34.816,28.722,1,"ebike:1, driver:0, passenger:0"
ebike_2020-2410-_jpg.rf.c5f4706346a0fb3725f1f79ba239be8a.jpg,bifpn,0+1+2,ebike+driver+passenger,32.952,30.348,1,"ebike:1, driver:0, passenger:0"
ebike_2020-2410-_jpg.rf.c5f4706346a0fb3725f1f79ba239be8a.jpg,yolov8n,1+3+0,bicycle+motorcycle+person,32.778,30.508,2,"bicycle:0, motorcycle:0, person:2"
ebike_2020-2455-_jpg.rf.26248f1e37f444032d9b3b437a6fe399.jpg,baseline,0+1+2,ebike+driver+passenger,32.462,30.805,1,"ebike:1, driver:0, passenger:0"
ebike_2020-2455-_jpg.rf.26248f1e37f444032d9b3b437a6fe399.jpg,bifpn,0+1+2,ebike+driver+passenger,31.405,31.842,1,"ebike:1, driver:0, passenger:0"
ebike_2020-2455-_jpg.rf.26248f1e37f444032d9b3b437a6fe399.jpg,yolov8n,1+3+0,bicycle+motorcycle+person,34.525,28.964,1,"bicycle:0, motorcycle:0, person:1"
ebike_2020-2745-_jpg.rf.ebe5bec9fbefdcb70431714b282ef226.jpg,baseline,0+1+2,ebike+driver+passenger,38.861,25.733,1,"ebike:1, driver:0, passenger:0"
ebike_2020-2745-_jpg.rf.ebe5bec9fbefdcb70431714b282ef226.jpg,bifpn,0+1+2,ebike+driver+passenger,38.944,25.678,2,"ebike:2, driver:0, passenger:0"
ebike_2020-2745-_jpg.rf.ebe5bec9fbefdcb70431714b282ef226.jpg,yolov8n,1+3+0,bicycle+motorcycle+person,39.069,25.596,1,"bicycle:0, motorcycle:0, person:1"
ebike_2020-2760-_jpg.rf.f8243f7e3f1c1eb43aeb1faf64708e24.jpg,baseline,0+1+2,ebike+driver+passenger,37.125,26.936,1,"ebike:1, driver:0, passenger:0"
ebike_2020-2760-_jpg.rf.f8243f7e3f1c1eb43aeb1faf64708e24.jpg,bifpn,0+1+2,ebike+driver+passenger,36.358,27.505,1,"ebike:1, driver:0, passenger:0"
ebike_2020-2760-_jpg.rf.f8243f7e3f1c1eb43aeb1faf64708e24.jpg,yolov8n,1+3+0,bicycle+motorcycle+person,36.294,27.553,1,"bicycle:0, motorcycle:0, person:1"
ebike_2020-2770-_jpg.rf.40f6cda495de3622e03549d30846a2dc.jpg,baseline,0+1+2,ebike+driver+passenger,36.482,27.411,1,"ebike:1, driver:0, passenger:0"
ebike_2020-2770-_jpg.rf.40f6cda495de3622e03549d30846a2dc.jpg,bifpn,0+1+2,ebike+driver+passenger,38.818,25.761,1,"ebike:1, driver:0, passenger:0"
ebike_2020-2770-_jpg.rf.40f6cda495de3622e03549d30846a2dc.jpg,yolov8n,1+3+0,bicycle+motorcycle+person,39.779,25.139,1,"bicycle:0, motorcycle:0, person:1"
ebike_2020-2838-_jpg.rf.7b1856d588cc3e038a0e1978e796768d.jpg,baseline,0+1+2,ebike+driver+passenger,37.179,26.897,1,"ebike:1, driver:0, passenger:0"
ebike_2020-2838-_jpg.rf.7b1856d588cc3e038a0e1978e796768d.jpg,bifpn,0+1+2,ebike+driver+passenger,37.222,26.866,1,"ebike:1, driver:0, passenger:0"
ebike_2020-2838-_jpg.rf.7b1856d588cc3e038a0e1978e796768d.jpg,yolov8n,1+3+0,bicycle+motorcycle+person,39.617,25.242,1,"bicycle:0, motorcycle:0, person:1"
ebike_2020-2922-_jpg.rf.f31dd6bbf7f970a50fa2a9a68c08239f.jpg,baseline,0+1+2,ebike+driver+passenger,31.789,31.458,1,"ebike:1, driver:0, passenger:0"
ebike_2020-2922-_jpg.rf.f31dd6bbf7f970a50fa2a9a68c08239f.jpg,bifpn,0+1+2,ebike+driver+passenger,31.392,31.856,1,"ebike:1, driver:0, passenger:0"
ebike_2020-2922-_jpg.rf.f31dd6bbf7f970a50fa2a9a68c08239f.jpg,yolov8n,1+3+0,bicycle+motorcycle+person,32.880,30.414,1,"bicycle:0, motorcycle:0, person:1"
ebike_2020-3060-_jpg.rf.9294ca31b55183ccd308ef59102e0f1d.jpg,baseline,0+1+2,ebike+driver+passenger,35.869,27.879,1,"ebike:1, driver:0, passenger:0"
ebike_2020-3060-_jpg.rf.9294ca31b55183ccd308ef59102e0f1d.jpg,bifpn,0+1+2,ebike+driver+passenger,37.710,26.518,1,"ebike:1, driver:0, passenger:0"
ebike_2020-3060-_jpg.rf.9294ca31b55183ccd308ef59102e0f1d.jpg,yolov8n,1+3+0,bicycle+motorcycle+person,35.561,28.121,1,"bicycle:0, motorcycle:0, person:1"
ebike_2020-3076-_jpg.rf.4f63fb6c53ed76c8fad563758e7bab07.jpg,baseline,0+1+2,ebike+driver+passenger,30.046,33.282,1,"ebike:1, driver:0, passenger:0"
ebike_2020-3076-_jpg.rf.4f63fb6c53ed76c8fad563758e7bab07.jpg,bifpn,0+1+2,ebike+driver+passenger,32.292,30.967,1,"ebike:1, driver:0, passenger:0"
ebike_2020-3076-_jpg.rf.4f63fb6c53ed76c8fad563758e7bab07.jpg,yolov8n,1+3+0,bicycle+motorcycle+person,31.699,31.547,2,"bicycle:0, motorcycle:0, person:2"
ebike_2020-3194-_jpg.rf.d3662ee6c51ca71876d9f5a166e4fc31.jpg,baseline,0+1+2,ebike+driver+passenger,31.365,31.883,1,"ebike:1, driver:0, passenger:0"
ebike_2020-3194-_jpg.rf.d3662ee6c51ca71876d9f5a166e4fc31.jpg,bifpn,0+1+2,ebike+driver+passenger,32.648,30.630,1,"ebike:1, driver:0, passenger:0"
ebike_2020-3194-_jpg.rf.d3662ee6c51ca71876d9f5a166e4fc31.jpg,yolov8n,1+3+0,bicycle+motorcycle+person,32.908,30.388,2,"bicycle:0, motorcycle:0, person:2"
ebike_2020-3444-_jpg.rf.d3fef4278452497c4070cd7eb96f3a4e.jpg,baseline,0+1+2,ebike+driver+passenger,31.113,32.141,1,"ebike:1, driver:0, passenger:0"
ebike_2020-3444-_jpg.rf.d3fef4278452497c4070cd7eb96f3a4e.jpg,bifpn,0+1+2,ebike+driver+passenger,32.179,31.076,1,"ebike:1, driver:0, passenger:0"
ebike_2020-3444-_jpg.rf.d3fef4278452497c4070cd7eb96f3a4e.jpg,yolov8n,1+3+0,bicycle+motorcycle+person,32.459,30.808,0,"bicycle:0, motorcycle:0, person:0"
ebike_2020-3612-_jpg.rf.7d78d00c4b3d470ad32ea443d2500e41.jpg,baseline,0+1+2,ebike+driver+passenger,29.675,33.699,1,"ebike:1, driver:0, passenger:0"
ebike_2020-3612-_jpg.rf.7d78d00c4b3d470ad32ea443d2500e41.jpg,bifpn,0+1+2,ebike+driver+passenger,31.761,31.485,1,"ebike:1, driver:0, passenger:0"
ebike_2020-3612-_jpg.rf.7d78d00c4b3d470ad32ea443d2500e41.jpg,yolov8n,1+3+0,bicycle+motorcycle+person,31.207,32.044,2,"bicycle:0, motorcycle:0, person:2"
ebike_2020-3659-_jpg.rf.8f681223a426a656df4ac1443424ee6d.jpg,baseline,0+1+2,ebike+driver+passenger,31.435,31.811,1,"ebike:1, driver:0, passenger:0"
ebike_2020-3659-_jpg.rf.8f681223a426a656df4ac1443424ee6d.jpg,bifpn,0+1+2,ebike+driver+passenger,30.912,32.350,1,"ebike:1, driver:0, passenger:0"
ebike_2020-3659-_jpg.rf.8f681223a426a656df4ac1443424ee6d.jpg,yolov8n,1+3+0,bicycle+motorcycle+person,31.523,31.723,2,"bicycle:0, motorcycle:0, person:2"
ebike_2020-3777-_jpg.rf.ba47906c7dd08bc4223b7e5f6e650df3.jpg,baseline,0+1+2,ebike+driver+passenger,32.623,30.653,1,"ebike:1, driver:0, passenger:0"
ebike_2020-3777-_jpg.rf.ba47906c7dd08bc4223b7e5f6e650df3.jpg,bifpn,0+1+2,ebike+driver+passenger,32.474,30.794,1,"ebike:1, driver:0, passenger:0"
ebike_2020-3777-_jpg.rf.ba47906c7dd08bc4223b7e5f6e650df3.jpg,yolov8n,1+3+0,bicycle+motorcycle+person,32.724,30.558,0,"bicycle:0, motorcycle:0, person:0"
ebike_2020-3784-_jpg.rf.b6eef096d6ebe285cf1e84a6be2756c2.jpg,baseline,0+1+2,ebike+driver+passenger,31.774,31.472,1,"ebike:1, driver:0, passenger:0"
ebike_2020-3784-_jpg.rf.b6eef096d6ebe285cf1e84a6be2756c2.jpg,bifpn,0+1+2,ebike+driver+passenger,34.564,28.932,1,"ebike:1, driver:0, passenger:0"
ebike_2020-3784-_jpg.rf.b6eef096d6ebe285cf1e84a6be2756c2.jpg,yolov8n,1+3+0,bicycle+motorcycle+person,37.938,26.359,2,"bicycle:0, motorcycle:0, person:2"
ebike_2020-3833-_jpg.rf.ab94247d49d3ef72ffa6f1ff261d23b9.jpg,baseline,0+1+2,ebike+driver+passenger,32.183,31.072,1,"ebike:1, driver:0, passenger:0"
ebike_2020-3833-_jpg.rf.ab94247d49d3ef72ffa6f1ff261d23b9.jpg,bifpn,0+1+2,ebike+driver+passenger,32.101,31.152,1,"ebike:1, driver:0, passenger:0"
ebike_2020-3833-_jpg.rf.ab94247d49d3ef72ffa6f1ff261d23b9.jpg,yolov8n,1+3+0,bicycle+motorcycle+person,34.710,28.810,0,"bicycle:0, motorcycle:0, person:0"
ebike_2020-385-_jpg.rf.05eb917d1a6f58f7390b44706ae6de01.jpg,baseline,0+1+2,ebike+driver+passenger,31.683,31.563,1,"ebike:1, driver:0, passenger:0"
ebike_2020-385-_jpg.rf.05eb917d1a6f58f7390b44706ae6de01.jpg,bifpn,0+1+2,ebike+driver+passenger,31.613,31.633,1,"ebike:1, driver:0, passenger:0"
ebike_2020-385-_jpg.rf.05eb917d1a6f58f7390b44706ae6de01.jpg,yolov8n,1+3+0,bicycle+motorcycle+person,33.461,29.886,1,"bicycle:0, motorcycle:0, person:1"
ebike_2020-536-_jpg.rf.1a64ad7bee439d20e201c5f51c9fb4f6.jpg,baseline,0+1+2,ebike+driver+passenger,33.858,29.535,1,"ebike:1, driver:0, passenger:0"
ebike_2020-536-_jpg.rf.1a64ad7bee439d20e201c5f51c9fb4f6.jpg,bifpn,0+1+2,ebike+driver+passenger,33.327,30.006,1,"ebike:1, driver:0, passenger:0"
ebike_2020-536-_jpg.rf.1a64ad7bee439d20e201c5f51c9fb4f6.jpg,yolov8n,1+3+0,bicycle+motorcycle+person,34.951,28.611,1,"bicycle:0, motorcycle:0, person:1"
ebike_2020-580-_jpg.rf.71002e10dc40537efe39f914d76faa9c.jpg,baseline,0+1+2,ebike+driver+passenger,35.271,28.352,1,"ebike:1, driver:0, passenger:0"
ebike_2020-580-_jpg.rf.71002e10dc40537efe39f914d76faa9c.jpg,bifpn,0+1+2,ebike+driver+passenger,32.939,30.359,1,"ebike:1, driver:0, passenger:0"
ebike_2020-580-_jpg.rf.71002e10dc40537efe39f914d76faa9c.jpg,yolov8n,1+3+0,bicycle+motorcycle+person,33.983,29.426,2,"bicycle:0, motorcycle:0, person:2"
ebike_2020-699-_jpg.rf.05e16c3b12a8f226a2e49d74be47477e.jpg,baseline,0+1+2,ebike+driver+passenger,32.941,30.357,1,"ebike:1, driver:0, passenger:0"
ebike_2020-699-_jpg.rf.05e16c3b12a8f226a2e49d74be47477e.jpg,bifpn,0+1+2,ebike+driver+passenger,32.324,30.936,1,"ebike:1, driver:0, passenger:0"
ebike_2020-699-_jpg.rf.05e16c3b12a8f226a2e49d74be47477e.jpg,yolov8n,1+3+0,bicycle+motorcycle+person,33.506,29.845,1,"bicycle:0, motorcycle:0, person:1"
ebike_2020-797-_jpg.rf.a43c074bbfd86e01e58ddafc60f7e2f0.jpg,baseline,0+1+2,ebike+driver+passenger,35.214,28.397,1,"ebike:1, driver:0, passenger:0"
ebike_2020-797-_jpg.rf.a43c074bbfd86e01e58ddafc60f7e2f0.jpg,bifpn,0+1+2,ebike+driver+passenger,36.656,27.281,1,"ebike:1, driver:0, passenger:0"
ebike_2020-797-_jpg.rf.a43c074bbfd86e01e58ddafc60f7e2f0.jpg,yolov8n,1+3+0,bicycle+motorcycle+person,36.690,27.256,4,"bicycle:0, motorcycle:0, person:4"
ebike_2020-800-_jpg.rf.313a4dcdc21bc1f4c8003358602c9dcc.jpg,baseline,0+1+2,ebike+driver+passenger,37.230,26.860,1,"ebike:1, driver:0, passenger:0"
ebike_2020-800-_jpg.rf.313a4dcdc21bc1f4c8003358602c9dcc.jpg,bifpn,0+1+2,ebike+driver+passenger,36.340,27.518,1,"ebike:1, driver:0, passenger:0"
ebike_2020-800-_jpg.rf.313a4dcdc21bc1f4c8003358602c9dcc.jpg,yolov8n,1+3+0,bicycle+motorcycle+person,38.773,25.791,2,"bicycle:0, motorcycle:0, person:2"
ebike_2020-833-_jpg.rf.a5b3b70c4a8412697ea397a87eeb13d4.jpg,baseline,0+1+2,ebike+driver+passenger,33.605,29.758,1,"ebike:1, driver:0, passenger:0"
ebike_2020-833-_jpg.rf.a5b3b70c4a8412697ea397a87eeb13d4.jpg,bifpn,0+1+2,ebike+driver+passenger,33.212,30.109,1,"ebike:1, driver:0, passenger:0"
ebike_2020-833-_jpg.rf.a5b3b70c4a8412697ea397a87eeb13d4.jpg,yolov8n,1+3+0,bicycle+motorcycle+person,35.451,28.208,2,"bicycle:0, motorcycle:0, person:2"
ebike_2020-960-_jpg.rf.b2438b9ccd9893f6c3340cffddedebb1.jpg,baseline,0+1+2,ebike+driver+passenger,33.399,29.941,1,"ebike:1, driver:0, passenger:0"
ebike_2020-960-_jpg.rf.b2438b9ccd9893f6c3340cffddedebb1.jpg,bifpn,0+1+2,ebike+driver+passenger,32.305,30.955,1,"ebike:1, driver:0, passenger:0"
ebike_2020-960-_jpg.rf.b2438b9ccd9893f6c3340cffddedebb1.jpg,yolov8n,1+3+0,bicycle+motorcycle+person,33.930,29.473,0,"bicycle:0, motorcycle:0, person:0"
ebike_2020-968-_jpg.rf.74f5ced2392ba3308a5db493e776e171.jpg,baseline,0+1+2,ebike+driver+passenger,32.346,30.916,2,"ebike:2, driver:0, passenger:0"
ebike_2020-968-_jpg.rf.74f5ced2392ba3308a5db493e776e171.jpg,bifpn,0+1+2,ebike+driver+passenger,32.657,30.621,1,"ebike:1, driver:0, passenger:0"
ebike_2020-968-_jpg.rf.74f5ced2392ba3308a5db493e776e171.jpg,yolov8n,1+3+0,bicycle+motorcycle+person,33.144,30.171,1,"bicycle:0, motorcycle:0, person:1"
helmet_Motorcycle-Helmet-Bad-Weather-_mp4-0054_jpg.rf.ea18dc44eddba620aa6a716092afa6e7.jpg,baseline,0+1+2,ebike+driver+passenger,33.398,29.942,0,"ebike:0, driver:0, passenger:0"
helmet_Motorcycle-Helmet-Bad-Weather-_mp4-0054_jpg.rf.ea18dc44eddba620aa6a716092afa6e7.jpg,bifpn,0+1+2,ebike+driver+passenger,35.221,28.392,0,"ebike:0, driver:0, passenger:0"
helmet_Motorcycle-Helmet-Bad-Weather-_mp4-0054_jpg.rf.ea18dc44eddba620aa6a716092afa6e7.jpg,yolov8n,1+3+0,bicycle+motorcycle+person,37.212,26.873,4,"bicycle:0, motorcycle:0, person:4"
helmet_Motorcycle-Helmet-Bad-Weather-_mp4-0089_jpg.rf.29e8322a99119540300e0834ea732368.jpg,baseline,0+1+2,ebike+driver+passenger,36.648,27.287,0,"ebike:0, driver:0, passenger:0"
helmet_Motorcycle-Helmet-Bad-Weather-_mp4-0089_jpg.rf.29e8322a99119540300e0834ea732368.jpg,bifpn,0+1+2,ebike+driver+passenger,37.184,26.894,0,"ebike:0, driver:0, passenger:0"
helmet_Motorcycle-Helmet-Bad-Weather-_mp4-0089_jpg.rf.29e8322a99119540300e0834ea732368.jpg,yolov8n,1+3+0,bicycle+motorcycle+person,39.660,25.215,1,"bicycle:0, motorcycle:0, person:1"
helmet_Motorcycle-Helmet-Bad-Weather-_mp4-0276_jpg.rf.94d229aa1c8ce112647cbbad88d9ec80.jpg,baseline,0+1+2,ebike+driver+passenger,34.605,28.898,0,"ebike:0, driver:0, passenger:0"
